,i,RAC,return,actions,Actual Path,ground_truth
41,41,153.29995272476387,38.23988514331349,"[22, 4, 5, 37]","[0, 1, 2, 3, 4]","[  0.           0.52424026   2.50527816 -18.50399931  56.71436603
 -41.60720864  -6.14703806  15.79703621 -12.26215846 -18.96013975
 -22.78615768 -39.08600859 -15.41263422  -0.33711291 -20.6571849
  45.69709507 -24.39112031  29.38832774   7.46339418   3.53562614
 -18.58490257 -27.41247542 -39.61276655 -60.61159783  48.00240743
 -36.45238287   2.69384541  -8.92848751  44.572544   -55.23210393
  20.30849035   2.24081283 -12.89102229  26.46126641  51.71859381
 -17.90624091  -2.84155327]"
42,42,142.9614757187246,9.18282773535923,"[22, 4, 37]","[0, 19, 20, 21, 22]","[  0.          -0.69132151   6.47688538  30.46059713 -23.41533747
  -9.36547828  63.16851262  15.34869458  -4.69474386  10.85120087
 -18.53670771 -18.62919014   4.83924543 -19.13280245 -34.49835665
 -22.49150117 -40.51324481   6.28494665  -4.54012038  -7.06151851
  14.65648769  -4.51552601   8.10338456 -56.98992745 -21.77530898
   2.21845179 -11.50993577   7.51396037 -24.0255476  -11.66774999
 -12.03413224  18.52278185  -0.26994449 -42.30843716  32.90179648
 -24.416873     1.04431798]"
43,43,106.37316799999996,258.1188815651872,"[22, 23, 37]","[0, 19, 20, 21, 22]","[ 0.00000000e+00 -4.54240716e+00 -3.78503106e+00 -1.06983120e+01
  8.58073346e+01 -1.65203993e+01  1.99275434e+01  4.02039850e+01
  1.26286154e+01 -8.78429714e+00 -1.38575157e+01  1.82127864e+01
 -3.33732541e+01 -8.62085495e+00  9.85821696e+00 -4.97253585e+00
  7.74054515e+01 -1.23688531e+01 -5.23419493e+00 -4.44808794e+00
  1.40405372e-01 -3.21659372e+00  2.67643158e+02 -1.59646287e+01
  2.17778253e+00  1.76836363e+01 -1.07980561e+00  1.11121397e+01
  1.57962654e+01  3.34882009e+01 -2.81575634e+01  8.07849414e+00
 -2.76567289e+00  7.48714341e+00 -1.54663254e+01  3.31809746e+01
 -1.02353457e+01]"
44,44,270.4297979397842,3.234216528424941,"[22, 4, 23, 24, 28, 29, 33, 34, 37]","[0, 19, 31, 35, 33, 22]","[   0.            6.58178662   12.46140029  -32.09831483 -146.8143679
  -68.60281832   74.35134766    1.75175953   -0.52322196   11.10943273
  -38.53614777   -7.21285862  -23.66818312    6.05445921  -19.03301107
   14.43424239   42.42441024   -2.34304357    4.12832425   -6.04906776
  -11.90503616    4.39743642  -25.55029561  -56.45996574  -19.31924062
   24.03524165   -7.05803033    0.50362709  -15.64512619    7.72556494
    6.98581864    5.91188382   10.40819739   33.00889556   17.04814029
    3.91280052   -2.57056089]"
45,45,173.6059618203645,-13.61764130627806,"[22, 4, 23, 24, 28, 29, 37]","[0, 19, 26, 30, 28, 22]","[   0.            1.30160851   -3.95145542   -4.0860181  -127.16326547
 -103.87514521   11.58723647  -17.46609288    3.94072657   18.70211088
   -0.6273883    10.38383865  -29.46628482    8.01926596  -35.01504773
  -19.80207726  -40.34403237    0.50488372   -0.60753427   -7.73436591
   -6.06943974  -27.87625345  -75.32345935   13.30528617  -61.65467367
   33.40599641   -4.99545865   13.46257929   89.92358293  -66.17051004
   -9.48794032   -3.01915241  -18.62052754   44.43944239   -7.58731834
   25.56819182   -2.77038559]"
46,46,210.41621800918824,67.33491877250277,"[22, 5, 6, 10, 11, 15, 37]","[0, 1, 13, 17, 15, 4]","[   0.            6.1559787     8.21900264  -15.98456714   41.20532304
   -7.04626457   -2.92687879  -11.31332779   -0.93465243   17.14602166
  -34.48893145    0.65924398   31.30222179   -4.69120076   -7.84601463
   32.66667997    3.05501169   -2.00186218    8.1187856    -6.68270824
   -1.35132253   -9.56681357 -191.39700332  -34.75837276   -1.30891392
  -30.54863015   -1.24598069   -5.23898321   39.81404827   12.7017341
   -0.76520888   -0.68197981   -8.8455167   -19.17187078    2.06058312
  -19.49826587   -7.16590385]"
47,47,118.43893393793674,43.60941490551209,"[22, 4, 37]","[0, 19, 20, 21, 22]","[   0.            6.52953179    9.24207966   12.80823602 -105.47369829
   71.91042861  -40.51147002   16.47246649   -2.94650353  -11.84941143
  -55.74908235   44.16718687  -18.64680572   -9.43156437    8.73212463
   31.7983308    28.78132611    1.75324513   -6.61374203    0.25896989
  -18.34795258    6.54992946   57.14846812    6.73714582  -34.49645324
   18.14888997    4.22889373  -44.24857907  -66.16822964   12.85501055
   -9.25348708  -10.80750205   -6.27548279  -40.71407547   19.97690799
   -0.59892482    0.23545052]"
48,48,106.37316800000002,164.38191783880285,"[22, 23, 37]","[0, 19, 20, 21, 22]","[  0.          -5.31700403  -6.38075916  21.23177378 -15.74041514
  43.74913915 -82.99416074  14.01266018  16.74638632  -7.94668222
  92.95187784 -39.9880252  -11.18293525 -20.03435422  -7.32118234
 -50.25174099  81.63677812  11.90577906   7.79396462   9.22881794
 -11.09105091 -30.70503219 198.949183   -36.37440829  15.22182161
  -9.32502378   1.05081318  -8.55541829  17.36622892 -22.22427303
  17.23932293  -7.50759079  18.72758066 -52.48575577 -18.91457003
 -19.54448947   1.33703591]"
49,49,220.08225293186692,27.640726240368608,"[22, 4, 23, 24, 28, 29, 33, 37]","[0, 19, 31, 35, 33, 22]","[ 0.00000000e+00 -4.10427846e+00  6.65145855e+00  3.64525373e+01
 -1.44158341e+02  9.35232139e+00  1.35847734e+01  4.62427426e+00
 -9.92582262e-02  3.60769557e+01  5.47137594e+01 -1.04544866e+01
 -8.95211696e+00  5.69842302e+00 -2.01804005e+01 -4.51581041e+01
  4.23817844e+01  2.06088214e+01  7.11831492e-01  2.96439594e+00
 -1.01063725e+01 -3.69472928e+01 -2.76004845e+01  1.50757717e+01
 -1.88006550e+01 -4.36985978e+00  3.45920080e+00 -4.18685326e+00
  1.62752899e+01  4.07661923e+01 -2.09138172e+01  1.62074812e+01
 -3.65853105e+01  4.94063778e+01 -8.93795942e+01 -6.33704420e+00
  6.47904989e+00]"
50,50,148.3722688321595,102.53883021848176,"[22, 4, 5, 37]","[0, 1, 2, 3, 4]","[  0.          -0.15488802  -6.20928424 -29.2916097  141.19461218
 -19.06928574 -31.21876856  21.4053547  -12.82292596 -26.54957802
   5.05350558  34.48774862  13.93473928  -3.34565185 -19.95052129
  63.95633176 132.56301382  19.75540922   0.61933129   3.71392696
  -3.93955851   2.96231636 -49.46813434  -6.42860244   5.58125899
   5.70938737  -2.81261993  34.21814632  -5.99066556  27.61226872
  21.90419025  13.38408703 -27.37963337  19.4571051   30.14086718
   7.26929187  -1.5735524 ]"
51,51,106.37316800000002,254.23974255249425,"[22, 23, 37]","[0, 19, 20, 25, 23, 22]","[ 0.00000000e+00  5.60640235e-01  1.25079512e+01 -2.72177994e+01
  9.99328823e+00 -1.91964412e+00 -1.42491876e+01 -2.17711817e+01
 -3.51017699e+00  5.17679991e+01 -2.02260316e+01 -2.33723683e+01
 -2.54619875e+01  7.46783040e+00 -1.11669223e+01 -4.43206237e+00
 -4.74934654e+01 -2.01645183e+01 -3.44930866e+00 -4.28212955e-01
  8.22753252e+00  1.83204761e+01  2.06021773e+02  2.07704037e+01
  7.31486424e+01  2.16482459e+01  3.68624274e+00  5.89013246e+00
 -5.34481481e+01 -4.17368239e+01 -3.27398794e+01  1.32806443e+01
  8.34967789e+00  2.87097876e+01  4.00862977e+01 -4.09054312e+00
 -1.64598847e-01]"
52,52,113.37501669219618,89.41166378348734,"[22, 4, 37]","[0, 19, 20, 21, 22]","[  0.          -6.3437519    2.40420026 -16.07914864   1.73440996
  15.77575324  51.16529056  13.19472749  -4.55380876  29.31578053
 -16.75706902  58.65223616   4.33565045   5.07742494  19.46144126
 -14.26566446 -31.53178476  -4.65155433  -4.23750625  -8.74126288
   8.08071571  24.79590834  67.27630262 -21.71268131 -19.36597885
  26.39655649  14.45539998   1.0363463   65.147177   -14.64000976
  -0.48484178  -8.26565414 -31.10796718 -16.07481587 -24.35572099
  -1.32314568   5.76092048]"
53,53,159.44806379279987,192.6563158958807,"[22, 4, 5, 37]","[0, 1, 2, 7, 5, 4]","[  0.           5.83380855 -20.72639779 -12.65374346  99.71264492
  95.7821518  -21.64934691  15.05410841 -21.50351794  -6.10881072
 -16.07583957 -24.48130565  -2.46817601  -5.28120397  18.2230105
 -82.4755484   69.36369867 -21.123613     9.03012104   9.19712742
  23.98079319  10.85804936 -27.31654441 -10.89622096  43.95483055
  -3.57022751  -2.2374021    6.55338472 -81.73391609 -93.61833247
   8.7935884   -0.69474265  10.88705067  34.62934917 -32.67105956
  -9.11162007   4.11003936]"
54,54,167.44382401049285,50.82260034994323,"[22, 4, 5, 37]","[0, 1, 2, 7, 5, 4]","[  0.          -5.40499496   0.78563826 -27.08271183  62.61484602
  29.33550207 -58.83914222 -33.50839104   5.83027565 -13.54922126
  27.10220754   7.42117787 -23.1366904   -8.19550824 -18.06930915
 -21.16742737 -14.96216271  -7.22387529  -3.90435119  12.54233791
 -15.63562705  -4.63355821 -11.32502398  46.2005192   24.98249844
 -17.89381534  -1.22690096  26.82394948 -16.24277033 -65.35129225
  -2.72438986 -14.61006492 -11.94773055 -18.94420134 -21.61778922
  -9.01380766   0.72601767]"
55,55,162.93838258697613,9.641513953795723,"[22, 4, 5, 37]","[0, 1, 2, 3, 4]","[  0.          -0.50891966 -18.09791098   5.25307681  25.99526779
 -15.24345532  -0.09159451   6.8323036    8.97572246  -7.22200229
  66.25781517 -47.56036816  33.32857058 -20.03439257  -9.55745429
  54.75194278  10.32674051  14.047038     4.44190922   3.61109903
 -13.82102734 -19.86909273 -20.33590683  11.51919375  11.88233497
  -3.75153944  -3.68094541  29.01558816   8.76755869  17.80489859
  -4.21210896  -5.06903415   8.00124426  40.70050707  48.43823867
   9.06380658  -6.77793021]"
56,56,130.77697321189794,48.07554580882439,"[22, 4, 37]","[0, 19, 20, 21, 22]","[  0.           2.96829079  11.02680622 -10.24355462 -26.54198597
 -64.68024054 -10.86057954  18.911085    -6.26992787  -5.31894564
  27.49174301  81.93827635  -9.23117904   6.87847423  20.16245245
  -6.26035926  36.00310121  20.00942644   3.4418748   -9.40547881
   8.59958149  18.40905355  32.47238958   1.11276567 -87.49030445
   2.69487551  -6.81455646 -48.44782123  16.84695007 -27.09338583
 -22.80428847   2.84615961 -10.84482805  18.54077846 -34.46752225
  17.49084542  -2.72129271]"
57,57,106.37316800000004,191.7673849356569,"[22, 23, 37]","[0, 19, 20, 25, 23, 22]","[   0.           -1.00323051  -16.9012289   -15.88836953  152.80016631
   89.45621626 -104.46047797   15.32018781   17.46168008  -33.78278501
  -10.64753915  -57.95678976  -18.76530624   -0.75500959  -14.0351442
   -6.42552074   -9.07669669   -8.63903772   -1.69897025   -0.25066362
   20.0497867    -9.06381283  126.95410372   24.6589801    25.57862157
   22.35517804    1.45882066   23.18176343    7.13861202  -55.79104949
  -35.94745228    0.5885131    24.1515435    35.17635786   33.48932449
   32.50848787    2.85066778]"
58,58,120.83825647892554,-198.40342658839597,"[22, 5, 6, 37]","[0, 1, 2, 7, 5, 4]","[ 0.00000000e+00 -1.05079201e+01 -8.09756685e+00 -1.50345184e-01
 -1.70436077e+02  2.32561590e+01 -3.87657624e+01 -2.96180221e+01
 -5.23342546e+00  2.53412920e+01  6.89651771e+00 -4.90862551e+01
 -1.42166049e+01  9.95168984e+00 -2.62834072e+01  3.94795011e+01
 -1.89433282e+01 -1.48752328e+01  7.62584720e+00  1.05442388e+01
 -6.10250409e+00  7.36712601e+00 -1.93589121e+02  4.00562750e+00
 -9.30987994e+01  2.01637002e+00 -1.10550215e+01 -3.79730220e+01
  7.35460469e+01  5.79976384e+01  2.40480352e+01  1.47779132e+00
 -8.88948387e+00 -9.18862423e+00 -4.63346719e+01  1.31405958e+01
 -1.87249520e+00]"
59,59,286.18916746722516,48.8777044196541,"[22, 5, 6, 10, 11, 15, 16, 3, 9, 14, 12, 17, 13, 4, 7, 37]","[0, 18, 4]","[   0.            2.81608747    4.20383432  -32.02718221   63.23367024
  -47.6826873   -49.4019622    35.44605251  -11.22321826  -43.89336432
  -20.49891245  -14.91597918   -1.31529587   -9.62465892   -6.84057764
  -24.69239272  -19.60980846   17.83571381    0.64403418   -0.35881522
   -5.64706765   21.12730626 -184.12415989   -1.91529101   78.00349477
  -17.76000285   -0.69256548   10.57066425   79.88416822  -34.67851258
    2.29344534    8.4500322   -48.11024681   60.11787895   18.8325314
    2.88434834  -10.99575106]"
60,60,197.33117844070637,65.85070485146517,"[22, 4, 23, 24, 28, 37]","[0, 19, 20, 25, 24, 22]","[ 0.00000000e+00 -2.93158817e+00  1.16399914e+01 -2.48344792e+01
 -1.98523022e+02  5.22683563e+01  2.95122824e+01  7.58222563e+00
  9.89200864e-03 -2.21006964e+01 -3.77322871e+01 -2.88148171e+01
  4.56257880e+01  3.49672691e-01 -1.34913734e+01  8.72551289e+00
  4.66753609e+01  5.60296606e+00  2.80426384e+00  2.88071817e-01
  2.65042898e+00 -4.42193518e+01 -3.43937297e+00 -1.05397104e+01
  5.24836141e+01  1.88679629e+01  8.39760964e+00 -1.55907461e+01
  1.53158055e+00  2.05592671e+01 -8.47639725e-02 -2.81324264e+01
 -1.47758924e+01  4.47764781e+01  1.54420906e+01 -2.19415035e+01
  6.04022856e+00]"
61,61,119.15488110468006,20.465425870506365,"[22, 5, 6, 37]","[0, 1, 2, 7, 5, 4]","[ 0.00000000e+00  2.19687773e+00 -1.26181884e-02  2.12224569e+01
  2.03364783e+01  2.66229098e+01 -4.17446090e+01 -2.56782218e+01
 -4.15338932e-01 -2.29595466e+01 -5.03371824e+00  4.08059422e+01
  2.05924141e+01 -6.73284398e-01 -1.19949644e+01  9.60717284e+00
 -8.82013165e+01 -1.13045514e+01  7.71246926e+00  3.40587266e+00
  1.26455489e+00 -2.76055128e+01 -8.88080492e+01 -1.71253621e+01
  4.62430378e+00  1.00367217e+01 -8.97176063e-01  1.74583645e+01
 -2.47455306e+01 -7.85067161e+01  2.90144888e+01 -2.19323006e+01
 -1.68017629e+01  4.04062814e+01 -2.46198241e+01 -1.57809821e+01
 -1.73729556e+00]"
62,62,114.58582424094129,-110.16702693458721,"[22, 5, 6, 37]","[0, 1, 2, 7, 5, 4]","[ 0.00000000e+00 -2.63790505e+00 -2.87591197e+00  2.24680076e+01
 -1.42222398e+02  3.57610235e+01 -6.10719487e+01  4.80816408e+00
 -6.42092838e+00  3.18440458e+01  4.14909417e+00  1.72712565e+01
 -7.53483850e-01  1.88862100e+00  5.80438464e+00 -4.55440095e+01
 -6.04310298e+01 -1.69299607e+01 -1.25309301e-01 -1.82414962e+00
 -1.04845259e+01 -4.05518688e+00 -1.73016237e+02  3.00278484e+01
 -3.18648038e+01  1.20317516e+01 -9.84432185e+00 -2.05471490e+01
 -9.57081788e+01  1.47829528e+01  1.36540180e+01 -5.97610470e+00
  1.56265330e+01  1.85599096e+01 -5.68464422e+01 -2.35450242e+01
  4.64736224e+00]"
63,63,114.45441060082136,81.71761712354157,"[22, 4, 37]","[0, 19, 20, 21, 22]","[ 0.00000000e+00  5.56030619e+00  3.58015526e-01 -1.26031548e+01
  3.54051160e-03 -4.83582968e+01  1.16651230e+01 -3.30131029e+01
 -1.50712909e+01  5.30563668e+00 -4.05611335e+00 -3.46156358e+01
  1.43735373e+01  1.07885403e+01 -2.83611525e+00  4.45054471e+01
 -2.30374380e+00  1.61676646e-01  1.05352358e+00  5.06642798e+00
  7.00545176e+00  6.52822259e+00  6.51175148e+01 -2.19912921e+01
  4.75892908e+01  1.66169662e+01 -9.21737288e-01  8.57368458e+00
 -3.82119055e+00 -7.95545653e+01  7.43337016e+00 -1.83305358e+01
 -1.98881086e+01 -3.11579546e+01 -4.03577532e+01  2.63034057e+01
  1.14058611e+01]"
64,64,213.53632420568195,-76.19601109685341,"[22, 4, 23, 24, 28, 29, 33, 34, 30, 25, 26, 20, 32, 21, 27, 35, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 31, 36, 37, 37]","[0, 19, 20, 25, 23, 22]","[   0.           -9.91313708  -11.50249513   43.85832725 -190.14350266
  -17.35586778  -45.42327463  -20.6659014   -23.71958622   14.06676173
   15.39368498   70.01943219  -23.90138515    2.95127681    0.9664177
   -6.85195409  -20.20108111  -27.37028064   -0.51289344   -1.93288665
   -4.56105762  -27.18343416  -47.62523824   23.78527626  -55.11734776
   10.2359007    -5.41332387   -9.81881521   13.0461689    29.54694366
   -2.60072422   -0.33500926  -26.99779277  -41.04760898  -75.05581498
  -27.16681341    9.28641814]"
65,65,117.58827774142964,118.53537375020863,"[22, 5, 6, 37]","[0, 1, 2, 7, 5, 4]","[   0.           -2.71060441   -8.60173388  -10.03593035  101.33655872
   29.75611652  -63.72380059    1.75503681    0.33226935  -31.39000772
    7.24283965  -43.10839735   40.16723216   -2.0120416   -14.39968834
   20.5298772   -10.24393882   -3.58376585   -1.14509044    0.85481037
   -9.63008818   -2.16969447 -295.67112483   59.53167791   46.60815377
   29.23146044   -4.70838236    1.00707184  -11.74207964  -30.81956739
    1.44161841   -6.27385419   -9.5914063    47.71762255   -7.68475981
    8.45368366   -6.78835945]"
66,66,106.27455793019243,109.55651838419871,"[22, 5, 4, 37]","[0, 1, 2, 7, 5, 4]","[   0.           -5.426432     -6.16308037  -15.13832353   34.70477299
   62.25964414 -118.2539425    27.18161361    6.48346792    5.72057488
  118.27663052   43.70839369   23.41676769   14.35220205   -3.61961838
   -2.24171203   -7.40248007  -12.21869175   -0.24402012   -3.16306614
   -2.89066209   -1.71067802 -112.39287331  -23.55011653   -9.2126767
  -20.07427915   16.07622615    6.90059448    7.78648671  -10.69165004
  -24.41754418   14.04254512  -24.30647942   27.0354603   -39.33404953
   18.23579319    5.84069071]"
67,67,151.5796612362324,8.474038401927348,"[22, 5, 6, 10, 37]","[0, 1, 2, 7, 6, 4]","[   0.            0.72096142  -11.152586     24.62093078  -15.46581562
  -23.93548405   13.95968553   24.41179308   -8.28709915  -22.22118991
  -20.97161846  -43.7368909   -32.70670505  -16.8502106    13.84658375
  -95.54261464  -30.17640903  -21.06310205    8.91740581    2.22331736
    1.1861885    10.55379948 -203.97165465  -45.8122204   -23.37583619
   18.1456359     5.34494431    1.02988659   23.28430207  -32.33333969
   -1.7184406     3.11670945  -20.64148215   37.79049889  -33.04396075
  -21.25992469    3.03152087]"
68,68,137.25641862837756,39.83561874143539,"[22, 4, 37]","[0, 1, 2, 3, 4]","[ 0.00000000e+00  9.99718093e-01 -1.54035342e+01  1.67608354e+01
  3.94785994e+01  7.29938099e+00  1.61823590e+01  9.23084077e+00
  3.50331675e-01  9.18045962e+00  2.45968664e+01  3.91143953e-01
  9.20721212e+00  1.40156502e+01 -8.17496741e+00 -1.70993650e+01
  7.68636407e+01  5.98986674e+00 -2.55044311e+00 -1.30684673e+00
 -1.20512368e+01  3.44081017e+00  1.95134987e+01  6.59662011e+01
  2.48306636e+01  1.75311469e+01  9.73053579e-02 -7.14541607e+00
  4.81625411e+01  4.51685094e+01  2.46224829e+00 -3.38488932e-02
 -2.67948532e+01 -5.64488155e+01 -1.58187674e+01 -1.69572205e+01
  1.66334459e+00]"
69,69,106.37316800000005,74.02237969186703,"[22, 23, 37]","[0, 19, 20, 21, 22]","[   0.           -3.01770986   11.62295167  -12.02800272 -159.74856583
   15.90904476   48.234617     21.12598217    8.52543909   13.78782829
   -8.98948249  -20.88728671  -16.80143259   11.80583116  -26.57681681
   -4.97586983  -19.89925584  -38.94246697   -9.24327488    1.32330157
    9.34571804  -23.39928647   88.75264656  -44.48618543  -79.27707842
  -23.87743479    1.68626444  -41.97225856    0.76621296   12.08742852
  -19.20764841   15.91763094    7.04666296  -26.07783601  -46.48006559
  -45.66075147   -3.31367611]"
70,70,106.37316800000002,336.07246321200836,"[22, 23, 37]","[0, 19, 20, 21, 22]","[   0.            0.88877462   -8.53039712   -8.87799356  -20.29379631
   44.0206228  -121.40544607   -8.29122903  -13.43087838  -15.46347809
  -67.00827734   32.21110775   -9.89828369   -5.03884542  -11.92434011
   14.97973033   16.52627892   -3.67211309    3.25978113    5.37334722
  -12.85225132  -25.22461262  370.77597993  -49.52163646  -21.68594531
   10.42205314   -7.84604887  -27.31564396   -3.53180854   12.32974766
  -28.34025433   -0.75648179   13.9615838   -25.01950625  -28.5135166
  -19.90673925   -0.93176716]"
71,71,200.08955079111482,-48.3366871656682,"[22, 4, 23, 24, 28, 29, 33, 34, 5, 37]","[0, 19, 31, 35, 34, 22]","[  0.          -5.96964043  -4.44298994   9.78824418 -45.15571496
  23.42783838  47.09279276 -19.30018111   2.18277905 -17.32287361
 -12.92022123  56.51676591 -14.25301786 -13.62191114 -34.11931072
  22.29464025  -2.90122014  -3.81373579   5.80867089  -7.41038441
  -1.60723106   5.49008195 -44.84846917  26.93949056 -27.17189089
 -11.37354175  -0.52640901 -22.59293761  35.67063867  30.67464171
  22.31495384 -10.88324908   0.84856979  25.6548958   62.92826702
 -39.12285152  -1.76873778]"
72,72,135.79698784393298,150.79972576476268,"[22, 4, 5, 37]","[0, 1, 2, 3, 4]","[ 0.00000000e+00 -3.39779717e+00 -2.20838847e+01  1.18048033e+01
  1.67476604e+02 -6.66382389e+01 -3.29735495e+01  1.09052068e+01
  1.18619318e-02 -1.51406104e+01  2.51818077e+01 -3.82527062e+00
 -3.01572130e+01 -5.00013015e+00  3.42802055e+01 -4.89506906e+01
  5.58362033e+01  8.28952686e+00  7.59833383e+00  6.95031702e+00
 -1.08400094e+01 -8.50736354e+00 -7.46186963e+01  5.83440206e+01
 -5.09997819e+01  2.25721897e+01  1.79057653e+01 -1.03736705e+01
 -2.68432097e+01  2.94704315e+01  1.74847227e+01  3.56528122e+00
 -7.85168858e+00 -1.22837225e+01  5.62282110e+01 -2.21734149e+01
 -1.21287207e+00]"
73,73,152.70264077581635,-65.17809520784449,"[22, 4, 23, 24, 28, 29, 33, 35, 34, 30, 25, 5, 6, 10, 11, 15, 16, 20, 26, 27, 32, 21, 12, 31, 1, 2, 3, 7, 8, 9, 13, 14, 17, 18, 19, 36, 37, 37]","[0, 19, 26, 30, 29, 22]","[   0.           10.65554398   24.40219668    5.26653745 -149.61206482
   -1.46941231   17.22783144  -30.58948661   -7.30259675   21.02630473
   64.79170677  -64.20053479    6.62019064   -2.10952357    5.96353402
  -45.84294072   23.01448094   -7.2781327     0.18199597   -2.60281993
   -0.15764333   -0.91682791  -74.20934266  -32.79344434   20.39234286
   21.01212217    1.45031906   -6.81712127   49.76500432   66.23273279
   -5.45993687   -3.59926022  -66.17743808   42.06795717   -9.05270788
  -13.25018581    4.56529271]"
74,74,149.424088054036,80.53221200266505,"[22, 4, 5, 37]","[0, 1, 2, 3, 4]","[  0.          -3.18336704  -4.08877179  17.05064577  73.75370506
 -23.87195333  38.14610102  25.23332643  -6.24697714   6.79378478
  -2.78220724  43.66752127  -6.03260373   1.50411762  26.44706096
 -13.21214323   1.0654011   -9.72658622   2.98494877   2.7500791
 -10.58821976 -33.46435884 -47.36449589 -44.9120314  -39.90891187
   5.39730618  16.49580277   4.20821177 122.41434221 -42.16760509
  36.37025602   8.63090156 -21.98423264  -6.9854428  -24.80940089
 -13.12735133   3.52860608]"
75,75,114.54095539554179,52.25507966949261,"[22, 4, 37]","[0, 19, 20, 21, 22]","[  0.           0.56347007   4.77022489  38.71962249  45.04145709
 -47.55389434  24.54523792  -3.56283549  13.46521433  23.2229975
   8.03224366  20.39262954 -15.28336774  -8.38373379  11.68848807
 -32.83902886 -28.91906879 -18.22744702   3.57276425   5.08966144
   6.30104043 -22.0800474   64.94442521  46.84713477 -12.36587946
  10.3178069   -1.48269343  13.83959472 -52.57555756 -14.76450904
   0.36561603  14.21531301  30.14469243  -6.87606351 -23.32002225
  -6.4458957    8.33625812]"
76,76,167.60226288731454,-17.0067459252154,"[22, 4, 5, 37]","[0, 1, 2, 3, 4]","[  0.          -2.78815225 -10.59536355 -11.43279985  10.80956972
  -6.97296034  -7.06238717   3.80073763 -12.15041644  29.09635334
  13.23571809 -13.42127948   5.35528447  -0.31386735   8.4943887
  64.94384238  -1.25724091  30.46478023   1.43837907   3.35123965
   2.26331644   5.28130246 -11.00814623  34.91092976  19.50973165
  -5.15000515   1.86477707  36.27493118   3.20425296 -32.96057117
   1.13042143  -1.4280109   26.23342095  17.88731387 -68.07135088
   0.65412268  -3.04713745]"
77,77,153.0485437448619,52.893243996445875,"[22, 5, 6, 10, 37]","[0, 1, 8, 12, 10, 4]","[   0.            3.30765736   -5.79757639    8.15622647   46.64793666
  -78.98836399   11.02192051  -31.51610345   15.68396907  -14.49590046
   12.23558869   46.55768632  -20.98190779   -9.76578006  -12.78101584
   67.89716926  -51.44461204   -3.78323165   -0.36956334   -0.80247687
   -1.08793477  -13.93968028 -120.69729695  -15.70180197  -85.51172397
   35.21861785   -7.74193227  -10.60467868  -31.74064045   11.67609711
  -24.44010722  -15.69037765    7.99900317   -1.82578773  -36.63677725
   22.37972951    0.98690605]"
78,78,122.3610972741264,28.916758187187558,"[22, 5, 6, 37]","[0, 1, 2, 7, 5, 4]","[   0.           -1.52359133    5.77975386   11.50510049   -6.07883498
   20.21047745  -20.70237675   13.52895319   -0.18155026  -12.99264145
   25.22513914    9.00227832  -17.53136385    8.28523129   41.8569267
    9.20033191   27.76559407   -7.70151993    0.77762164    4.98314366
  -10.64076272   -6.71113102 -138.66632065  -49.7739953    23.6057852
  -11.37761197   19.50379022   25.20750925   -3.55999894   18.65014342
  -10.8992895     2.4317445   -28.74431053  -51.67728674   14.93377135
   10.47731266   -1.30115138]"
79,79,106.62346655073033,69.88610407692724,"[22, 4, 37]","[0, 19, 20, 21, 22]","[ 0.00000000e+00  3.46941446e-01 -1.19050468e+01  5.31096041e-02
 -5.42412677e+01  3.88998507e+01  2.48366331e+01  1.10031347e+01
  8.55166113e+00  1.12773838e+01 -9.52613772e-01  5.84082455e+01
  1.38103454e+01  2.80145454e+01 -1.74960695e+01 -2.38942463e+01
 -4.99544427e+01 -1.69935647e+01 -2.04301491e+00 -6.57586981e+00
 -2.53670026e+00  2.19271245e-01  8.07794029e+01  3.09717902e+01
  2.68733141e+00 -1.70778277e+01 -7.99887977e+00  2.15807903e+01
 -3.88076754e+01  2.44285390e+01 -3.95464681e+00  1.13123103e+01
 -2.77296832e+01  3.37787023e+01 -4.11432931e+01  3.10387162e+01
 -2.74275529e+00]"
80,80,116.90368167698793,55.96226815894587,"[22, 4, 37]","[0, 19, 20, 21, 22]","[  0.           1.04401477   8.95211035 -23.61458313  27.35325396
  24.11468976 -26.45469728 -20.87221478  -5.81148973  -7.12706
  11.76295252 -71.87882551  -7.78980322   4.4914091   -9.47798512
  46.55232866 -49.19248552  19.73438458  -4.08057699  -8.79091912
   6.96212215  -0.42790751  60.21897265 106.33753851  43.44393826
  -3.26312537   5.52802251  45.78942735  -1.67104082 -30.0156362
   3.48727496 -15.74559881   5.26391089 -20.02148408 -47.0435109
   7.11143653  -4.93882643]"
81,81,178.9990995264996,2.907461415932424,"[22, 5, 6, 10, 11, 37]","[0, 1, 8, 12, 10, 4]","[   0.           -6.17700922    0.59928638  -33.09284553    2.36687056
   -1.36278124  -47.7543246   -42.03730157    3.68381879   29.90800962
   11.30714495  -63.97166974   -3.27336366  -11.39058939   35.77090198
  -11.37983582    5.17644337    9.41838228    4.56315462   -0.94905012
    4.32511413    4.3045632  -144.55407942  -35.12839797   14.0992533
  -26.65596727   -8.26796135  -23.70975619    8.96371267  -17.46815548
    3.11237931  -18.49781475  -11.3611427   -49.9424764   -38.62155741
   -8.85035773   -2.58516045]"
