,i,RAC,return,actions,Actual Path,ground_truth
10,10,131.04895815996696,48.08831234135695,"[22, 4, 37]","[0, 1, 2, 3, 4]","[ 0.00000000e+00  3.57639487e+00 -1.54540029e+01 -1.67676999e-01
  6.21335974e+01 -2.88034224e+01  1.06204634e+01  2.17097051e+00
  4.29143093e-02 -3.49200421e+00  1.73210476e+01  4.81214950e+01
 -1.93013134e+01  1.02827408e+01  4.57260260e+00  1.78055045e+01
 -4.54640885e+01  2.70273757e+00  7.42268501e+00 -5.39902443e+00
 -1.97772828e+01 -3.48674459e+01  3.19284197e+01  9.53986932e+01
  4.49476501e+01  3.34524443e+01  9.91492158e-01  2.79599275e+01
 -1.08499195e+01  2.45281674e+01 -5.34634377e+00 -5.49309014e+00
  2.65416592e+00 -1.90456806e+01  5.23389232e+01  3.90026558e+00
  2.00104994e+00]"
11,11,106.373168,156.0620608986603,"[22, 23, 37]","[0, 19, 20, 25, 23, 22]","[  0.          -1.43036498  -4.84565132 -53.06637119  -0.82846294
 -12.78525455 -21.46517449   6.30805337   4.21050716 -21.31205961
 -35.4495868  -19.02933971  13.7936462    5.61192176 -26.1109702
 -44.77901046  29.47349565  31.49268146  -0.15537544  -3.41723314
  10.95629699  -6.19153274  87.09026698  61.96286533  25.2031929
   1.46986474   7.32271354 -12.85150785  -7.12372701 -22.95818238
  -4.08750631  -4.864951    -3.71550648 -15.22145667   3.55910541
   1.27343323   1.48173554]"
12,12,108.56750119949973,88.73596243007404,"[22, 4, 37]","[0, 19, 20, 21, 22]","[  0.          -3.4071294    2.42439497 -34.01471268  75.31428339
 -61.38885361   0.20508313  -2.4045534   -8.06981879  57.4363879
 -23.91291678  18.89827974  21.91912236 -12.15168801  26.84712743
  -4.88599151  40.50061908 -18.27738293  -5.14765104   6.04898225
   5.01872304   2.77692354  76.8913336   21.0933066  -46.17440941
 -44.26666959 -16.8175651  -35.76188502 -88.7413978  -25.89723121
 -10.56808642  -0.39209175   4.29951897 -15.3743521  -10.15616312
   1.46504149  -4.98601919]"
13,13,106.373168,126.178312707885,"[22, 23, 37]","[0, 19, 20, 21, 22]","[ 0.00000000e+00  3.76883189e+00 -4.45030783e-01  9.03624677e+00
  1.34510171e+02  2.12935155e+01  5.40075160e+01  1.72242275e+01
  1.47868574e+01 -2.09075426e+01 -3.15595610e+01 -5.04642378e+01
  1.12569357e+01 -2.43326252e+00  1.82748141e+01  1.26940369e+01
  5.09213121e+00  4.30076593e+01  3.03144328e+00 -1.33858250e-01
 -9.84160782e+00  2.38141055e+01  1.14339673e+02 -4.34872636e+01
 -5.80845330e+00  4.75715677e+00 -1.63909341e+01 -5.56269033e+00
  5.59695368e+01 -6.46043185e+01  9.81743665e+00  1.89274222e+01
 -1.24195940e+01 -1.81500952e+01  8.69806638e+00  1.02865771e+01
  1.98620663e+00]"
14,14,106.37316800000005,130.02174551121033,"[22, 23, 37]","[0, 19, 20, 25, 23, 22]","[ 0.00000000e+00  3.95930123e-01  1.73976528e+00 -1.44673132e+00
 -2.00432940e+02  5.78711253e+00 -6.00467449e+01  4.22218902e+00
 -5.58205055e+00  2.16905813e+01 -7.45156496e+00  5.86454992e-01
 -2.15113894e+01  6.42252074e+00 -3.60673423e+00  2.48120101e+01
  3.24389734e+01  1.55587173e+01 -1.18744839e+00 -9.45956173e+00
 -1.17212179e+01  1.67241394e+01  1.21112808e+02  5.17239744e+01
 -2.19732466e+01 -1.96342573e+01  9.14672758e+00  1.74614076e+01
  8.84445668e-01 -1.65743341e-01 -2.69825230e+01 -2.08217846e+00
  2.65308057e+01 -3.66504232e+01 -1.88005259e+01 -2.98885041e+00
 -1.62630058e+00]"
15,15,139.71173928759077,11.658433898050749,"[22, 4, 37]","[0, 1, 2, 3, 4]","[ 0.00000000e+00  1.69642353e+00 -1.55908534e+00 -1.00357935e+01
  2.35568892e+01 -7.05442103e+01 -4.38344818e+01 -2.17553148e+01
 -3.05170052e+00 -9.47496744e+00 -8.02378154e+00  1.42078709e+01
  1.37903545e+01  4.10589675e+00 -1.12995687e+01  2.39756276e+01
 -6.51745221e+00  3.20042900e+01  3.40813602e+00  7.44005067e-02
 -8.77796322e-01 -1.96423568e+01  1.46028574e+01 -4.54974914e+01
  1.39601031e+01 -3.71702632e+01 -1.16718189e+01  2.84979366e+01
  5.98626145e+01  5.15972822e+01 -3.62349053e+01 -1.49830721e+01
 -2.90028644e+01 -6.77562785e+01  9.09056110e+00 -9.79469422e+00
 -2.64253257e-03]"
16,16,130.4326796715112,39.99612407906227,"[22, 4, 37]","[0, 19, 20, 21, 22]","[   0.           -7.64236729   -5.9446798     1.32660747 -123.54948732
  -24.85474434  -35.55791196    9.97819711   -7.86897102    2.37487128
  -30.27452542   19.73467635  -16.78808626  -10.15021854   -6.8503937
   75.37856033  -10.83651638  -29.03438677   -5.40079481   12.82538281
   -2.20222755   -1.78800784   33.16097666   64.49044744   28.63859027
   13.17264526    2.10741163  -11.28886995    5.60743649  -13.5379165
  -28.09655118  -24.86642177   25.47086938   43.18991432   25.93609421
   11.12840284    1.16768775]"
17,17,117.53314146914732,121.59114333346112,"[22, 4, 37]","[0, 1, 2, 3, 4]","[  0.          -9.27314039   6.23901111  22.90622579 103.71904682
  75.46555719  -4.46793161  -7.24202677   1.48675045  -8.75566305
  86.8502799   46.09241002 -36.37624679  -1.38049341  10.79679228
 -71.01129148  52.59506144  -9.46896094  -5.4611495   -1.25013721
  -9.82294304  20.62538185  58.96005306 -17.86586417 -32.25440328
   2.62535517 -12.12560238   3.19981707 -30.20892143  13.9958397
  19.55083529  -1.3858525    2.0771261   12.02364144  38.72821182
  17.39247684   2.83891544]"
18,18,119.99850718276781,99.11298989714521,"[22, 5, 6, 37]","[0, 1, 2, 7, 6, 4]","[   0.           10.95101179   -1.34892147    3.21035965   44.26978432
   24.93565763   40.35613944    7.88497581   -3.36386703  -12.91812926
   32.2183082    16.65771354   11.49239498  -11.01671333  -19.89513744
   53.82077927   23.27471254   10.74477425   10.33523432   -1.45162058
    6.01365073  -11.29053641 -140.15419899  -40.88008942   35.34078189
  -10.67488983  -13.50432184    4.60188032   35.79419335   54.83039692
   49.27403209   11.27901366  -16.38428299    2.69856571   43.08865016
  -11.07089923    3.38808659]"
19,19,106.37316799999999,222.92232241145956,"[22, 23, 37]","[0, 19, 20, 25, 23, 22]","[ 0.00000000e+00 -1.70232504e+00 -5.77748542e+00 -8.08063110e+00
 -6.03289427e+01 -9.75409114e+00  4.14137495e+01  1.16150682e+01
  2.52413736e+00 -2.92509191e+01 -6.19336529e+01  1.06109091e+01
 -1.79241652e-02 -1.01599240e+01  2.23979213e+00 -4.76780821e+01
  6.22217560e+01 -1.86659984e+01  2.63267125e+00 -7.49822907e-01
  5.22785746e+00  2.68430974e+01  1.87022552e+02  5.02397630e+01
  3.63441322e+01 -1.68180276e+01  1.00558510e+01 -2.04760836e+01
  7.27095651e+00 -1.66672378e+01  3.95681750e+01  1.91744468e+01
 -2.06201400e+01 -1.93324766e+01 -2.58032060e+01  1.20696314e+00
  2.73965219e+00]"
20,20,106.37316800000005,183.47176632327577,"[22, 23, 37]","[0, 19, 20, 25, 23, 22]","[   0.            0.97932511    3.57536516  -46.86523811 -108.48325873
   22.38785158   37.57877399  -19.56962084    5.0309684     8.12828938
   12.9384404   -19.73643528  -15.84033582   -8.42367934  -25.59005323
    9.82860678   -1.76779203   31.35265106    5.2555434     2.03184213
   -1.68646101  -63.79405578  134.41587111   53.31112833   -9.73355064
   -2.60061423   -1.09017371   31.12372879    5.15113411  -82.67794891
  -17.70986309  -11.04579483   18.65732693   82.39352006  -37.39751832
  -32.25980436    2.63534859]"
21,21,145.64294244033334,56.26597000749602,"[22, 4, 5, 37]","[0, 1, 2, 3, 4]","[  0.          -0.55598025  10.41796799 -25.13478588  74.53876815
 -68.44215043  -8.23457527  -4.69142582  11.28144044  -0.25251903
 -24.52801148  54.94753999  32.21983953  -6.89228271  13.83847421
 -17.9246241    6.49369867   5.14458268  -6.3772793    0.32002217
 -10.61856618 -19.78736787 -54.92678712 -79.36726457 -59.05768488
   4.63605919   6.44159274  17.04245391 -18.56074874  27.8870639
  31.35764353  11.78556206 -27.67913737 -69.89335181  16.10895165
  24.88965596  -0.11918176]"
22,22,198.36283456417908,5.625937218952892,"[22, 4, 5, 6, 10, 11, 15, 17, 16, 37]","[0, 1, 13, 17, 15, 4]","[  0.          -7.31675326  10.81791679  -4.78650336 -49.11291362
 -40.09088041  36.75286012 -22.07264202   6.26493456 -11.23027561
   1.15420473  -9.23068751  11.75504429   7.52317579 -21.17005109
  42.23889655  29.91001062  21.29353176   7.60064794  -7.44301468
  18.59989892 -31.97226054 -77.52883353  13.49300006  41.86914901
  12.58286681   3.63059095  11.11499394 -43.54198128   0.94779087
  49.98353281 -24.90030393  -4.69724775  -3.90253838 -35.46117366
  -2.73426475   0.50989463]"
23,23,114.72345005112977,79.49272718806336,"[22, 4, 37]","[0, 1, 2, 3, 4]","[  0.           0.12906541  -7.77619413  18.97267645  70.16717946
 -42.04326256 -14.70192464 -22.74919381 -13.22147523  35.44516557
 -13.89835964  26.80560652   6.44543041   0.60342934 -20.86900003
 -40.39767506  17.6694549   22.57753707  -9.19033884  -4.69384316
  -2.01840522  20.90742555  64.5794359   32.48474679   9.64425203
 -19.05019062  -1.36266756  25.34496417   6.94534578 -48.93019097
  28.30639962   4.5771098   14.57751686  78.73738924 -21.91152031
 -13.58836543 -12.53115159]"
24,24,106.37316800000002,165.60553677473533,"[22, 23, 37]","[0, 19, 20, 21, 22]","[ 0.00000000e+00 -3.85016726e+00 -3.16280360e+00 -1.98162077e+01
 -1.07081626e+02 -5.75485312e+01  2.25766741e+01  5.91443775e+00
 -1.62640423e+01  4.39130397e+00  2.71521920e+01  7.55709093e+01
  1.92307680e+01  1.04011196e+00 -9.62330635e+00  3.40091412e+01
  5.81369867e+01  2.11547487e+01  8.27808036e-01  2.57509189e+00
 -1.33693569e+01  1.12572227e+01  1.67142579e+02 -2.53311934e+00
  4.86673446e+00  2.41520508e+01 -2.04021491e-02  3.25559149e+01
  1.41797114e+01  4.15011053e+01 -7.71367026e+00  5.19818001e+00
  3.37316577e+01 -5.30385258e+01  5.71593480e+01 -4.17870855e+01
 -6.49099687e-01]"
25,25,106.37316800000002,345.29128809374964,"[22, 23, 37]","[0, 19, 20, 25, 23, 22]","[  0.           5.13445152  -8.39584849 -11.82363036 -95.68882967
  -8.89302777 -24.7966043   36.75809156 -20.53230756  17.37166103
 -36.82937758  -9.29247454  43.05913796 -13.34661471   1.52759301
 -49.84357107  48.09089228 -20.99883165   5.28305054  -2.09838835
  22.94842342 -51.88974752 338.73076798  27.23555693 -63.1077379
 -39.52507188   5.33339823  -5.81739424 -20.54078675  79.30504307
   4.52002101 -18.39904958  32.15341653  15.53167745  15.98928257
   8.109532     1.08500886]"
26,26,127.03131948039211,-52.77614846462211,"[22, 5, 6, 37]","[0, 1, 2, 7, 5, 4]","[   0.           -9.706182      7.13785479   13.24296297  -22.8862121
   10.87003304   -1.16275802  -35.19164219   -7.94280551   12.45244997
    6.37361201  -52.572141     19.12513083   -7.96090732  -18.50426632
  -41.27908772  -23.37337856   54.9185054     2.48809608   10.44055478
    0.68825104    5.4727549  -116.39207195   41.74114988   58.33429934
   11.65263641    6.39545181    4.27168302   12.06200274   32.41046106
   20.66643437  -11.56486348  -12.80985197  -15.29368863  -76.95287138
   29.58161892    5.66302884]"
