,Participant,Condition,TrialId,Score,ExpectedScore,NumClicks,TestEnv,HighRiskClicks
770,210,0,1,-55,-205.0,13,1,0
771,210,0,2,-10,-165.0,12,2,0
772,210,0,3,-60,-210.0,17,3,0
773,210,0,4,-90,-215.0,14,4,0
774,210,0,5,-1505,-155.0,9,5,0
775,211,3,1,-235,-225.0,30,1,4
776,211,3,2,-25,-20.0,12,2,4
777,211,3,3,-15,-20.0,12,3,4
778,211,3,4,15,0.0,10,4,4
779,211,3,5,-65,-65.0,9,5,4
780,212,3,1,-275,-280.0,35,1,4
781,212,3,2,-70,-60.0,17,2,4
782,212,3,3,10,20.0,8,3,2
783,212,3,4,35,20.0,8,4,4
784,212,3,5,-1460,-115.0,4,5,0
785,213,1,1,-1470,-145.0,2,1,0
786,213,1,2,75,-80.0,3,2,0
787,213,1,3,-1480,-140.0,4,3,2
788,213,1,4,65,60.0,4,4,1
789,213,1,5,-55,-55.0,8,5,4
790,216,0,1,15,-125.0,6,1,0
791,216,0,2,60,-85.0,4,2,0
792,216,0,3,50,-85.0,4,3,0
793,216,0,4,30,-110.0,4,4,0
794,216,0,5,-1470,-125.0,5,5,0
795,217,2,1,-10,-125.0,5,1,0
796,217,2,2,30,-120.0,7,2,0
797,217,2,3,-1445,-90.0,3,3,0
798,217,2,4,30,-125.0,9,4,0
799,217,2,5,-40,-205.0,8,5,1
800,220,1,1,45,45.0,3,1,1
801,220,1,2,65,70.0,3,2,1
802,220,1,3,50,50.0,5,3,2
803,220,1,4,45,-130.0,3,4,1
804,220,1,5,-15,-35.0,6,5,2
805,221,0,1,-105,-105.0,12,1,1
806,221,0,2,-70,-70.0,11,2,1
807,221,0,3,30,30.0,8,3,1
808,221,0,4,-30,-30.0,12,4,1
809,221,0,5,-25,-45.0,8,5,1
810,222,2,1,20,-140.0,5,1,0
811,222,2,2,80,-60.0,2,2,0
812,222,2,3,80,-70.0,2,3,0
813,222,2,4,75,-80.0,3,4,0
814,222,2,5,-1465,-115.0,4,5,0
815,223,3,1,-25,-150.0,8,1,0
816,223,3,2,15,-125.0,9,2,0
817,223,3,3,5,-145.0,11,3,0
818,223,3,4,0,-150.0,12,4,0
819,223,3,5,-1505,-155.0,10,5,0
820,224,3,1,-525,-525.0,60,1,4
821,224,3,2,-60,-55.0,16,2,4
822,224,3,3,5,0.0,11,3,4
823,224,3,4,0,5.0,11,4,4
824,224,3,5,-50,-45.0,7,5,4
825,225,1,1,50,55.0,2,1,1
826,225,1,2,35,40.0,6,2,2
827,225,1,3,-1450,-100.0,0,3,0
828,225,1,4,25,20.0,8,4,4
829,225,1,5,-75,-55.0,8,5,4
830,228,2,1,-1505,-155.0,3,1,0
831,228,2,2,80,-120.0,2,2,0
832,228,2,3,-1500,-110.0,1,3,0
833,228,2,4,80,-100.0,0,4,0
834,228,2,5,-1465,-105.0,3,5,0
835,230,0,1,-1585,-265.0,14,1,1
836,230,0,2,-20,-20.0,12,2,2
837,230,0,3,-55,-55.0,17,3,2
838,230,0,4,-5,0.0,12,4,1
839,230,0,5,-30,-45.0,7,5,3
840,231,3,1,-55,-60.0,7,1,2
841,231,3,2,-5,10.0,10,2,3
842,231,3,3,15,25.0,9,3,2
843,231,3,4,40,40.0,6,4,1
844,231,3,5,-55,-55.0,8,5,2
845,232,0,1,-315,-265.0,33,1,4
846,232,0,2,-170,-170.0,22,2,1
847,232,0,3,-225,-225.0,34,3,3
848,232,0,4,5,5.0,11,4,3
849,232,0,5,-40,-40.0,10,5,1
850,233,2,1,25,-115.0,4,1,0
851,233,2,2,45,40.0,6,2,1
852,233,2,3,95,-60.0,1,3,0
853,233,2,4,50,-85.0,1,4,0
854,233,2,5,-1440,-130.0,3,5,0
855,234,1,1,45,45.0,3,1,1
856,234,1,2,70,70.0,3,2,1
857,234,1,3,65,60.0,4,3,1
858,234,1,4,70,45.0,3,4,1
859,234,1,5,-35,-45.0,7,5,2
860,236,2,1,35,-115.0,4,1,0
861,236,2,2,25,-95.0,5,2,0
862,236,2,3,65,-80.0,4,3,0
863,236,2,4,25,-130.0,7,4,0
864,236,2,5,-1495,-140.0,8,5,0
865,237,2,1,25,-110.0,1,1,0
866,237,2,2,-1515,-110.0,1,2,0
867,237,2,3,100,-100.0,0,3,0
868,237,2,4,105,-100.0,0,4,0
869,237,2,5,-1430,-110.0,1,5,0
870,241,3,1,-100,-80.0,15,1,4
871,241,3,2,-380,-380.0,49,2,4
872,241,3,3,25,20.0,8,3,4
873,241,3,4,-15,-5.0,12,4,4
874,241,3,5,-30,-45.0,7,5,4
880,246,0,1,-180,-280.0,18,1,3
881,246,0,2,-1495,-100.0,0,2,0
882,246,0,3,-70,-110.0,17,3,3
883,246,0,4,40,20.0,5,4,3
884,246,0,5,-20,-100.0,0,5,0
885,247,0,1,-30,-30.0,3,1,2
886,247,0,2,10,30.0,2,2,2
887,247,0,3,50,60.0,4,3,3
888,247,0,4,60,55.0,3,4,1
889,247,0,5,-10,-5.0,3,5,1
890,249,3,1,-55,-190.0,6,1,0
891,249,3,2,-95,-95.0,20,2,4
892,249,3,3,-135,-135.0,24,3,4
893,249,3,4,-5,-5.0,12,4,1
894,249,3,5,-140,-140.0,20,5,4
900,252,1,1,45,55.0,2,1,1
901,252,1,2,55,60.0,4,2,2
902,252,1,3,85,80.0,2,3,1
903,252,1,4,35,55.0,2,4,1
904,252,1,5,5,5.0,2,5,1
905,253,1,1,60,-85.0,1,1,0
906,253,1,2,65,-80.0,3,2,0
907,253,1,3,90,-60.0,1,3,0
908,253,1,4,80,-120.0,2,4,0
909,253,1,5,-1475,-115.0,4,5,0
910,254,1,1,-35,30.0,2,1,2
911,254,1,2,25,5.0,2,2,1
912,254,1,3,-1480,-100.0,0,3,0
913,254,1,4,90,55.0,2,4,1
914,254,1,5,-20,-100.0,0,5,0
920,256,3,1,-185,-185.0,26,1,4
921,256,3,2,-75,-75.0,18,2,4
922,256,3,3,-35,-35.0,15,3,4
923,256,3,4,-15,-15.0,13,4,2
924,256,3,5,-70,-70.0,13,5,3
925,257,0,1,-75,-225.0,13,1,0
926,257,0,2,30,-120.0,8,2,0
927,257,0,3,45,-105.0,6,3,0
928,257,0,4,55,-100.0,4,4,0
929,257,0,5,-1475,-120.0,6,5,0
935,261,3,1,-45,20.0,3,1,2
936,261,3,2,-10,10.0,5,2,2
937,261,3,3,75,30.0,3,3,1
938,261,3,4,55,20.0,4,4,2
939,261,3,5,-25,10.0,5,5,2
940,262,2,1,30,-115.0,4,1,0
941,262,2,2,85,-60.0,1,2,0
942,262,2,3,-1460,-85.0,1,3,0
943,262,2,4,65,-85.0,1,4,0
944,262,2,5,-1445,-105.0,3,5,0
945,263,0,1,-325,-325.0,40,1,4
946,263,0,2,60,-90.0,4,2,3
947,263,0,3,50,50.0,5,3,3
948,263,0,4,30,25.0,5,4,3
949,263,0,5,-55,-55.0,8,5,3
950,264,2,1,25,-85.0,1,1,0
951,264,2,2,85,-60.0,1,2,0
952,264,2,3,-1460,-105.0,3,3,1
953,264,2,4,55,-90.0,4,4,0
954,264,2,5,-1455,-115.0,4,5,0
955,265,1,1,20,-115.0,4,1,0
956,265,1,2,65,-80.0,4,2,0
957,265,1,3,50,60.0,4,3,1
958,265,1,4,25,35.0,4,4,1
959,265,1,5,-20,-35.0,6,5,3
960,268,2,1,-1460,-110.0,2,1,0
961,268,2,2,75,-120.0,2,2,0
962,268,2,3,-1445,-100.0,0,3,0
963,268,2,4,5,15.0,7,4,1
964,268,2,5,-1515,-180.0,8,5,1
965,271,3,1,-1475,-140.0,3,1,0
966,271,3,2,10,-5.0,10,2,4
967,271,3,3,-5,-20.0,11,3,2
968,271,3,4,25,30.0,7,4,1
969,271,3,5,-50,-65.0,11,5,3
970,274,0,1,-15,-5.0,9,1,1
971,274,0,2,60,65.0,4,2,1
972,274,0,3,50,-95.0,6,3,0
973,274,0,4,40,-115.0,8,4,0
974,274,0,5,-70,-70.0,11,5,3
980,276,1,1,-10,-5.0,8,1,4
981,276,1,2,0,10.0,10,2,4
982,276,1,3,20,10.0,9,3,3
983,276,1,4,15,10.0,9,4,4
984,276,1,5,-30,-45.0,7,5,3
985,280,1,1,-45,-60.0,6,1,2
986,280,1,2,-35,-35.0,8,2,2
987,280,1,3,55,70.0,3,3,1
988,280,1,4,-40,-30.0,11,4,2
989,280,1,5,-20,-170.0,6,5,0
990,282,3,1,-285,-285.0,36,1,4
991,282,3,2,-40,-40.0,15,2,4
992,282,3,3,0,0.0,11,3,1
993,282,3,4,5,5.0,10,4,1
994,282,3,5,-70,-70.0,13,5,3
