,Participant,Condition,TrialId,Score,ExpectedScore,NumClicks,TestEnv,HighRiskClicks
149,44,2,5,-15,-165.0,4,5,1
150,45,1,1,30,45.0,3,1,1
151,45,1,2,45,-100.0,5,2,0
152,45,1,3,65,-90.0,4,3,0
153,45,1,4,80,-90.0,3,4,0
154,45,1,5,-1480,-130.0,7,5,0
155,46,1,1,-95,-245.0,17,1,0
156,46,1,2,75,-70.0,2,2,0
157,46,1,3,100,-60.0,1,3,0
158,46,1,4,65,-85.0,1,4,0
159,46,1,5,-1460,-115.0,4,5,0
160,47,0,1,-1590,-1575.0,15,1,3
161,47,0,2,5,-190.0,10,2,1
162,47,0,3,-65,-115.0,17,3,3
163,47,0,4,65,-130.0,3,4,1
164,47,0,5,10,40.0,2,5,1
165,48,3,1,25,-115.0,4,1,0
166,48,3,2,20,20.0,9,2,1
167,48,3,3,-20,-20.0,12,3,2
168,48,3,4,15,-140.0,10,4,0
169,48,3,5,-1495,-150.0,8,5,0
170,49,1,1,50,55.0,2,1,1
171,49,1,2,75,80.0,2,2,1
172,49,1,3,70,60.0,4,3,2
173,49,1,4,80,55.0,2,4,1
174,49,1,5,-20,-35.0,6,5,2
175,50,2,1,-25,-5.0,8,1,4
176,50,2,2,15,20.0,8,2,2
177,50,2,3,65,70.0,4,3,1
178,50,2,4,25,25.0,6,4,2
179,50,2,5,-40,-35.0,6,5,2
180,51,1,1,20,35.0,4,1,2
181,51,1,2,75,80.0,2,2,1
182,51,1,3,90,80.0,2,3,1
183,51,1,4,20,15.0,6,4,3
184,51,1,5,-15,-175.0,5,5,1
185,52,3,1,-360,-350.0,35,1,4
186,52,3,2,-190,-190.0,29,2,4
187,52,3,3,85,-60.0,1,3,0
188,52,3,4,25,20.0,8,4,4
189,52,3,5,-80,-85.0,11,5,4
190,53,0,1,35,-95.0,2,1,0
191,53,0,2,95,-60.0,1,2,0
192,53,0,3,70,-70.0,2,3,0
193,53,0,4,100,-70.0,2,4,0
194,53,0,5,-1440,-105.0,3,5,0
195,54,3,1,-1485,-135.0,4,1,0
196,54,3,2,-110,-90.0,15,2,3
197,54,3,3,-60,-105.0,17,3,4
198,54,3,4,-20,-40.0,14,4,3
199,54,3,5,-15,-110.0,1,5,1
200,55,3,1,-305,-305.0,32,1,4
201,55,3,2,-175,-175.0,22,2,4
202,55,3,3,-155,-155.0,27,3,4
203,55,3,4,-50,-50.0,17,4,4
204,55,3,5,-190,-190.0,25,5,4
205,56,2,1,15,-115.0,4,1,1
206,56,2,2,-205,-350.0,30,2,2
207,56,2,3,95,-60.0,1,3,0
208,56,2,4,85,-85.0,1,4,0
209,56,2,5,-1480,-125.0,5,5,0
215,58,0,1,-75,-75.0,15,1,1
216,58,0,2,10,10.0,9,2,4
217,58,0,3,55,65.0,5,3,1
218,58,0,4,-5,5.0,8,4,1
219,58,0,5,-25,-35.0,7,5,2
220,59,0,1,-1490,-145.0,2,1,0
221,59,0,2,20,-135.0,2,2,0
222,59,0,3,80,-60.0,1,3,0
223,59,0,4,85,-85.0,1,4,0
224,59,0,5,20,-110.0,1,5,0
