,Participant,Condition,TrialId,Score,ExpectedScore,NumClicks,TestEnv,HighRiskClicks,GoalStrategy,ClickAgreement,GoalAgreement,SubgoalAgreement,TermAgreement,GoalTermAgreement,SubgoalTermAgreement
227,62,1,3,45,40.0,6,3,2,True,0.5714285714285714,0.5,1.0,0.6666666666666666,0.3333333333333333,1.0
228,62,1,4,70,55.0,2,4,1,True,1.0,1.0,1.0,1.0,1.0,1.0
229,62,1,5,-20,-35.0,6,5,2,True,0.2857142857142857,0.25,1.0,0.6,0.3333333333333333,1.0
230,63,0,1,-1490,-130.0,5,1,0,False,0.0,,0.0,0.8333333333333334,,0.2
231,63,0,2,-1520,-125.0,3,2,1,False,0.25,,0.3333333333333333,0.6666666666666666,,0.75
232,63,0,3,35,-15.0,7,3,2,False,0.125,,0.2857142857142857,0.5833333333333334,,0.7083333333333333
233,63,0,4,15,-120.0,6,4,0,False,0.14285714285714285,1.0,0.0,0.8571428571428571,1.0,0.4
234,63,0,5,-60,-80.0,11,5,4,False,0.08333333333333333,0.0,0.5714285714285714,0.5454545454545454,0.5,0.9
235,64,1,1,45,55.0,2,1,1,True,1.0,1.0,1.0,1.0,1.0,1.0
236,64,1,2,0,-15.0,4,2,2,True,0.4,0.5,1.0,0.6666666666666666,0.5,1.0
237,64,1,3,-1500,-160.0,6,3,3,True,0.5714285714285714,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0
238,64,1,4,-20,-5.0,9,4,4,True,0.3,0.25,0.8,0.5625,0.75,0.8
239,64,1,5,-45,-170.0,7,5,3,False,0.125,0.0,0.75,0.5714285714285714,0.6666666666666666,0.75
245,66,0,1,-30,-5.0,8,1,4,False,0.3333333333333333,0.5,1.0,0.625,0.6666666666666666,1.0
246,66,0,2,25,20.0,8,2,2,False,0.2222222222222222,0.25,0.5,0.625,0.25,1.0
247,66,0,3,-20,-15.0,12,3,2,False,0.15384615384615385,0.25,0.25,0.5625,0.25,0.625
248,66,0,4,55,-90.0,4,4,0,False,0.2,0.25,,0.8,0.25,
249,66,0,5,-65,-65.0,9,5,3,True,0.6,0.75,0.6,0.625,0.75,1.0
260,70,1,1,40,45.0,3,1,1,True,0.75,1.0,0.5,0.75,1.0,0.5
261,70,1,2,65,70.0,3,2,1,True,0.75,1.0,0.5,0.75,1.0,0.5
262,70,1,3,-1500,-1475.0,5,3,2,True,0.8333333333333334,1.0,0.6666666666666666,0.75,1.0,0.6666666666666666
263,70,1,4,70,45.0,3,4,1,True,0.75,1.0,0.5,0.75,1.0,0.5
264,70,1,5,-20,-35.0,6,5,2,True,0.7142857142857143,0.75,1.0,1.0,0.75,1.0
265,71,0,1,-1465,-145.0,2,1,0,False,0.6666666666666666,1.0,,0.6666666666666666,0.5,
266,71,0,2,15,-5.0,3,2,2,False,0.25,0.0,1.0,0.6666666666666666,1.0,1.0
267,71,0,3,65,60.0,4,3,2,True,0.4,0.5,1.0,0.75,0.5,1.0
268,71,0,4,25,20.0,8,4,4,False,0.1111111111111111,0.0,1.0,0.5625,1.0,1.0
269,71,0,5,-55,-55.0,8,5,4,True,0.2222222222222222,0.25,1.0,0.5714285714285714,0.3333333333333333,1.0
270,72,1,1,-65,-20.0,8,1,2,False,0.1111111111111111,,0.25,0.6,,0.6666666666666666
271,72,1,2,-80,-70.0,12,2,1,False,0.15384615384615385,1.0,0.09090909090909091,0.6,0.0,0.43333333333333335
272,72,1,3,35,-115.0,7,3,1,False,0.125,0.5,0.2,0.875,1.0,0.875
273,72,1,4,70,-85.0,1,4,0,False,0.5,1.0,,0.5,1.0,
274,72,1,5,5,-15.0,4,5,1,True,0.6,1.0,0.5,1.0,0.5,1.0
280,74,1,1,-1460,-145.0,2,1,0,False,0.6666666666666666,1.0,,0.6666666666666666,0.5,
281,74,1,2,-1530,-145.0,2,2,0,False,0.6666666666666666,1.0,,0.6666666666666666,0.5,
282,74,1,3,70,60.0,4,3,2,True,0.6,0.5,1.0,0.6666666666666666,1.0,1.0
283,74,1,4,35,35.0,4,4,2,True,0.6,0.5,1.0,0.6666666666666666,1.0,1.0
284,74,1,5,-10,-25.0,5,5,2,True,0.3333333333333333,0.5,0.6666666666666666,0.625,0.5,0.6666666666666666
285,75,1,1,40,45.0,3,1,1,True,0.75,1.0,0.5,0.75,1.0,0.5
286,75,1,2,65,70.0,3,2,1,True,0.75,1.0,0.5,0.75,1.0,0.5
287,75,1,3,-1480,-1455.0,3,3,1,True,0.75,1.0,1.0,0.75,1.0,1.0
288,75,1,4,70,45.0,3,4,1,True,0.75,1.0,0.5,0.75,1.0,0.5
289,75,1,5,-30,-45.0,7,5,3,True,0.75,0.75,1.0,0.75,0.75,1.0
290,76,1,1,5,15.0,6,1,1,True,0.42857142857142855,0.25,0.5,0.75,0.25,0.5
291,76,1,2,90,-60.0,1,2,0,False,0.5,1.0,,0.5,1.0,
292,76,1,3,80,-70.0,2,3,0,False,0.3333333333333333,0.5,,0.6666666666666666,0.5,
293,76,1,4,50,-90.0,4,4,0,False,0.2,0.25,,0.8,0.25,
294,76,1,5,-1470,-115.0,4,5,0,False,0.6,0.75,,0.8,0.75,
305,79,0,1,-45,-25.0,10,1,4,False,0.18181818181818182,1.0,0.4444444444444444,0.5833333333333334,1.0,0.9375
306,79,0,2,-5,5.0,10,2,4,False,0.18181818181818182,1.0,0.4444444444444444,0.5555555555555556,1.0,0.5555555555555556
307,79,0,3,75,-70.0,2,3,1,False,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0
308,79,0,4,25,25.0,5,4,3,False,0.3333333333333333,0.5,1.0,0.625,0.5,1.0
309,79,0,5,-35,15.0,4,5,3,False,0.0,,0.75,0.3333333333333333,,0.75
310,80,1,1,30,-95.0,2,1,0,False,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.0
311,80,1,2,70,-80.0,3,2,0,False,0.75,1.0,,0.75,1.0,
312,80,1,3,50,65.0,5,3,1,True,0.5,1.0,0.25,0.625,1.0,0.25
313,80,1,4,40,45.0,5,4,1,True,0.5,1.0,0.25,0.625,1.0,0.25
314,80,1,5,-90,-90.0,15,5,3,True,0.375,0.75,0.2727272727272727,0.55,0.75,0.2
315,81,1,1,30,-115.0,4,1,1,True,0.4,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0
316,81,1,2,70,-80.0,3,2,0,False,0.75,1.0,,0.75,1.0,
317,81,1,3,90,-70.0,2,3,0,False,0.3333333333333333,0.5,,0.6666666666666666,0.5,
318,81,1,4,70,-105.0,3,4,0,False,0.25,0.3333333333333333,,0.75,0.3333333333333333,
319,81,1,5,-1455,-115.0,4,5,0,False,0.6,0.75,,0.8,0.75,
320,82,0,1,-15,-110.0,1,1,0,False,0.0,,0.0,0.5,,0.0
321,82,0,2,85,-110.0,1,2,0,False,0.0,,0.0,0.5,,0.0
322,82,0,3,100,-110.0,1,3,0,False,0.0,,0.0,0.5,,0.0
323,82,0,4,60,-110.0,1,4,0,False,0.0,,0.0,0.5,,0.0
324,82,0,5,20,-100.0,0,5,0,False,0.0,,,0.0,,
325,83,0,1,-5,-140.0,6,1,0,True,0.42857142857142855,0.75,0.0,0.8571428571428571,0.75,0.5
326,83,0,2,30,-95.0,5,2,0,True,0.16666666666666666,0.3333333333333333,0.0,0.8333333333333334,0.3333333333333333,0.5
